"file","hex","mode","confidence"
"01-Milk-Bath.webp","#d9d4d7","neutral","0"
"02-Cream.webp","#d6ccc6","neutral","0.006"
"03-Pearl.webp","#d9d2cf","neutral","0"
"04-moonlight.webp","#d3cbcb","neutral","0"
"05-Diamond.webp","#cdc3c3","neutral","0.003"
"06-Pixie-Dust.webp","#cca3a6","saturated","0.261"
"06-Pixie-Dust-3.webp","#c2adb1","neutral","0.093"
"07-Fairy.webp","#e0a2ae","saturated","0.653"
"07-Jello.webp","#c1132e","saturated","0.718"
"08-Ballerina.webp","#c47f8b","saturated","0.687"
"09-Orchid.webp","#d5677c","saturated","0.65"
"10-Flowers.webp","#c66785","saturated","0.68"
"11-Rosewood.webp","#c76586","saturated","0.686"
"12-Bloom.webp","#bf575c","saturated","0.656"
"13-Floral.webp","#c25362","saturated","0.675"
"14-Sugar-Rush.webp","#db8cb2","saturated","0.737"
"15-Bubble-Gum.webp","#d98ed1","saturated","0.675"
"16-Fushia.webp","#b6136a","saturated","0.746"
"17-Unicorn.webp","#dc8377","saturated","0.659"
"18-Peach-Hour.webp","#de8772","saturated","0.589"
"19-Sunny-Delight.webp","#f1bd87","saturated","0.682"
"19-Sunny-Delight-3.webp","#ecc287","saturated","0.816"
"1-Darling-Pink.webp","#863649","saturated","0.89"
"20-Angel.webp","#c8a399","saturated","0.468"
"20-Angel-3.webp","#ae8c7e","saturated","0.336"
"21-Petal.webp","#ad7c7b","saturated","0.593"
"22-Sunset-Beige.webp","#916765","saturated","0.58"
"23-Cup-Cake.webp","#967269","saturated","0.559"
"24-Sandy.webp","#88525a","saturated","0.587"
"25-Satin.webp","#985755","saturated","0.624"
"26-Blossom.webp","#a06078","saturated","0.61"
"27-Romantic.webp","#a75171","saturated","0.603"
"28-Lavendar-Haze-3.webp","#735970","saturated","0.278"
"28-Lavender-Haze.webp","#cd9bc1","saturated","0.415"
"29-Sugar-PLum.webp","#9965a2","saturated","0.671"
"2-rosewood.webp","#5e363a","saturated","0.865"
"30-Neon-Mauve.webp","#830172","saturated","0.742"
"31-Apple.webp","#6f0309","saturated","0.689"
"32-Gem.webp","#930207","saturated","0.705"
"33-Ruby.webp","#9f0001","saturated","0.728"
"34-Poppy.webp","#8f0109","saturated","0.661"
"35-Hot-red.webp","#9c0314","saturated","0.67"
"35-HotREd-3.webp","#980107","saturated","0.996"
"36-Spicy-Red.webp","#8e0614","saturated","0.713"
"37-Blackout.webp","#020205","saturated","0.423"
"37-Blackout-3.webp","#1e1d1d","neutral","0.11"
"38-Saphire.webp","#100c4f","saturated","0.66"
"39-Ocean-drive.webp","#143b9a","saturated","0.641"
"3-In-the-nude.webp","#864b53","saturated","0.869"
"40-Lagoon.webp","#1f30a7","saturated","0.683"
"41-Sky.webp","#1658b7","saturated","0.695"
"42-Cloud.webp","#7180b0","saturated","0.547"
"43-Light-Grey.webp","#beb1b2","neutral","0.007"
"43-Light-Grey-3.webp","#c9b6b1","neutral","0.091"
"44-SeaShell.webp","#b8aaab","neutral","0.019"
"45-Lilac.webp","#ccc2dc","neutral","0.025"
"46-Aqua.webp","#adcee3","saturated","0.55"
"47-MArshmallow.webp","#e196cc","saturated","0.655"
"48-Pepper-Mint.webp","#ccdec7","neutral","0.03"
"49-Rose-all-day.webp","#d32c59","saturated","0.687"
"4-dolce.webp","#894d4a","saturated","0.885"
"5.webp","#62a495","saturated","0.716"
"50-Violet-Vibe.webp","#965db9","saturated","0.646"
"52-Grape.webp","#3f263f","saturated","0.597"
"53-Twilight.webp","#2f232c","saturated","0.575"
"54-Mulberry.webp","#402830","saturated","0.604"
"55-Cranberry.webp","#552025","saturated","0.731"
"56-Perfect-plum.webp","#6c1e35","saturated","0.808"
"57-Berry.webp","#5b2333","saturated","0.754"
"58-Black-Cherry.webp","#4b2129","saturated","0.758"
"59-Scarlet.webp","#402a34","saturated","0.486"
"5-signature-red.webp","#bf3835","saturated","0.932"
"6.webp","#a81616","saturated","0.694"
"60-Brownie.webp","#492c2f","saturated","0.659"
"61-Charcoal.webp","#909495","neutral","0"
"62-Olive.webp","#0f2825","saturated","0.343"
